Structure of the permanent resident population by canton, on 31.12.2023;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Uri;35.422 ;7.686 ;21.322 ;6.414 ;17.988 ;17.434 ;31.971 ;3.451 ;15.226 ;16.654 ;2.071 ;1.450 ;5 ;16 ;0 ;21.291 ;10.016 ;4.115 
Schwyz;146.730 ;31.638 ;93.065 ;22.027 ;74.861 ;71.869 ;119.389 ;27.341 ;64.115 ;65.940 ;6.679 ;9.891 ;7 ;96 ;2 ;89.063 ;30.768 ;26.899 
Obwalden;35.585 ;7.908 ;22.185 ;5.492 ;17.974 ;17.611 ;30.821 ;4.764 ;15.968 ;15.885 ;1.766 ;1.955 ;0 ;10 ;1 ;9.971 ;0 ;25.614 
Nidwalden;41.024 ;8.309 ;26.062 ;6.653 ;20.862 ;20.162 ;36.353 ;4.671 ;17.965 ;18.353 ;1.918 ;2.772 ;3 ;13 ;0 ;15.467 ;5.468 ;20.089 
Zug;113.105 ;23.555 ;72.346 ;17.204 ;56.917 ;56.188 ;86.327 ;26.778 ;49.100 ;51.457 ;4.610 ;7.837 ;6 ;91 ;4 ;103.198 ;9.907 ;0 
Ticino;333.753 ;63.053 ;202.476 ;68.224 ;161.891 ;171.862 ;246.898 ;86.855 ;135.330 ;151.347 ;21.303 ;25.543 ;27 ;188 ;15 ;232.409 ;73.333 ;28.011 
1 Starting with 2010, change in the methods of production and the concept of the permanent resident population: the permanent resident population includes henceforth all persons in the asylum process who have been residing in Switzerland since 12 months or more.;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2014";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;
